統計年,區域別,年底人口數,土地面積,人口密度
106,屏東縣鹽埔鄉,25997,64.349,404
106,屏東縣高樹鄉,24622,90.152,273
106,屏東縣萬巒鄉,20556,60.732,338
106,屏東縣內埔鄉,54707,81.855,668
106,屏東縣竹田鄉,17158,29.073,590
106,屏東縣新埤鄉,9936,59.01,168
106,屏東縣枋寮鄉,24571,57.735,426
106,屏東縣新園鄉,35321,38.311,922
106,屏東縣崁頂鄉,15720,31.266,503
106,屏東縣林邊鄉,18080,15.623,1157
106,屏東縣南州鄉,10670,18.97,562
106,屏東縣佳冬鄉,19380,30.984,625
106,屏東縣琉球鄉,12337,6.802,1814
106,屏東縣車城鄉,8586,49.852,172
106,屏東縣滿州鄉,7840,142.201,55
106,屏東縣枋山鄉,5478,17.27,317
106,屏東縣三地門鄉,7644,196.396,39
106,屏東縣霧臺鄉,3246,278.796,12
106,屏東縣瑪家鄉,6746,78.701,86
106,屏東縣泰武鄉,5271,118.627,44
106,屏東縣來義鄉,7465,167.776,44
106,屏東縣春日鄉,4867,160.001,30
106,屏東縣獅子鄉,4806,301.002,16
106,屏東縣牡丹鄉,4926,181.837,27
106,臺東縣臺東市,105960,109.769,965
106,臺東縣成功鎮,14238,143.994,99
106,臺東縣關山鎮,8742,58.735,149
106,臺東縣卑南鄉,17399,412.687,42
106,臺東縣大武鄉,6117,69.145,88
106,臺東縣太麻里鄉,11163,96.652,115
106,臺東縣東河鄉,8517,210.191,41
106,臺東縣長濱鄉,7260,155.187,47
106,臺東縣鹿野鄉,7951,89.698,89
106,臺東縣池上鄉,8248,82.685,100
106,臺東縣綠島鄉,3926,15.092,260
106,臺東縣延平鄉,3551,455.88,8
106,臺東縣海端鄉,4222,880.038,5
106,臺東縣達仁鄉,3518,306.445,11
106,臺東縣金峰鄉,3653,380.664,10
106,臺東縣蘭嶼鄉,5075,48.389,105
106,花蓮縣花蓮市,104380,29.41,3549
106,花蓮縣鳳林鎮,10861,120.518,90
106,花蓮縣玉里鎮,24345,252.372,96
106,花蓮縣新城鄉,20185,29.41,686
106,花蓮縣吉安鄉,83747,65.258,1283
106,花蓮縣壽豐鄉,18043,218.445,83
106,花蓮縣光復鄉,12888,157.11,82
106,花蓮縣豐濱鄉,4383,162.433,27
106,花蓮縣瑞穗鄉,11653,135.586,86
106,花蓮縣富里鄉,10413,176.37,59
106,花蓮縣秀林鄉,15889,1641.856,10
106,花蓮縣萬榮鄉,6384,618.491,10
106,花蓮縣卓溪鄉,6066,1021.313,6
106,澎湖縣馬公市,62308,33.992,1833
106,澎湖縣湖西鄉,14508,33.301,436
106,澎湖縣白沙鄉,9817,20.088,489
106,澎湖縣西嶼鄉,8408,18.715,449
106,澎湖縣望安鄉,5176,13.782,376
106,澎湖縣七美鄉,3856,6.987,552
106,基隆市中正區,52163,10.212,5108
106,基隆市七堵區,53972,56.266,959
106,基隆市暖暖區,38708,22.828,1696
106,基隆市仁愛區,44314,4.234,10467
106,基隆市中山區,47908,10.524,4552
106,基隆市安樂區,82358,18.025,4569
106,基隆市信義區,52035,10.671,4876
106,新竹市東區,212553,33.577,6330
106,新竹市北區,150636,15.727,9578
106,新竹市香山區,77943,54.849,1421
106,嘉義市東區,122103,30.156,4049
106,嘉義市西區,147295,29.87,4931
106,金門縣金城鎮,43285,21.713,1994
106,金門縣金湖鎮,29413,41.696,705
106,金門縣金沙鎮,20535,41.19,499
106,金門縣金寧鄉,30838,29.854,1033
106,金門縣烈嶼鄉,12700,16.003,794
106,金門縣烏坵鄉,685,1.2,571
106,連江縣南竿鄉,7544,10.4,725
106,連江縣北竿鄉,2360,9.9,238
106,連江縣莒光鄉,1624,4.7,346
106,連江縣東引鄉,1352,3.8,356
106,東沙群島,0,2.38,0
106,南沙群島,0,0.504,0
